Scene Title ,Segment Number,Start Time 2,Start Time (s) , End Time (s) ,Start TR,Camera cut,"Segment Details - dialogue, movement",Scene Details - setting,Space,Name - All,Name - Focus,Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,Valence,Temporal Relationship ,Type of Jump,,,,,
,158,546,9:06,9:07,683,138,Rocket picks up speed as it rises,,Outdoor,N/A,N/A,N/A,In the sky,short,no,yes,3,-,,,,,,,
,159,548,9:08,9:09,685,139,"Vector waits to be picked up by the launcher, as the rope is tied around his waist",,Outdoor,"Male neighbor, Vector",Vector,N/A,In the sky,medium,no,yes,3,-,,,,,,,
,160,550,9:10,9:11,688,140,Vector is dragged into the air ,,Outdoor,Vector,Vector,"Vector: ""Oh yeah!""",In the sky,long,no,yes,4,-,,,,,,,
,161,552,9:12,9:12,690,141,"Vector lands on his squid, which is still attached to the rocket",,Outdoor,Vector,Vector,N/A,In the sky,medium,no,yes,4,-,,,,,,,
,162,553,9:13,9:15,691,142,Gru tells Dr. Nefario that all systems are working,,Outdoor,Gru,Gru,"Gru: ""Nice work Dr., all systems go.""",In the sky,m,no,yes,3,-,,,,,,,
,163,556,9:16,9:17,695,143,Vector lands on Gru's front window with a piranha gun aimed at Gru,,Outdoor,"Gru, Vector",Vector,"Vector: ""Boo-yeah.""",In the sky,short,no,yes,5,-,,,,,,,
,164,557,9:17,9:18,696,144,Gru is taken aback and looks surprised,,Outdoor,Gru,Gru,N/A,In the sky,short,no,yes,5,-,,,,,,,
,165,558,9:18,9:19,698,145,Gru turns a dial,,Outdoor,"Gru, Vector",Gru,N/A,In the sky,m,no,yes,4,-,,,,,,,
,166,559,9:19,9:24,699,146,"Vector is electrocuted and loses his grip on the window, falling from the rocket ",Vector fails to tag onto Gru's rocket,Outdoor,Vector,Vector,N/A,In the sky,m,no,yes,5,-,,,,,,,
,167,564,9:24,9:25,705,147,Vector falls through the sky,,Outdoor,Vector,Vector,N/A,In the sky,long,no,yes,4,-,,,,,,,
,168,566,9:26,9:30,708,148,Vector thinks of his flight suit ,,Outdoor,Vector,Vector,"Vector: ""My flight suit!""",In the sky,m,no,yes,5,-,,,,,,,
,169,571,9:31,9:35,714,149,"Vector's flight suit is activated, and Vector can control his movements in the air",,Outdoor,Vector,Vector,"Vector: ""Oh yeah, once again the mighty -""",In the sky,long,no,yes,4,-,,,,,,,
,170,575,9:35,9:35,719,150,Vector runs into an electric tower,,Outdoor,Vector ,Vector,N/A,In the sky,short,no,no,3,-,,,,,,,
,171,576,9:36,9:38,720,151,Vector is electrocuted on the tower and falls,,Outdoor,Vector,Vector,Vector screams,In the sky,long,no,no,3,-,,,,,,,
,172,578,9:38,9:39,723,152,Gru yells as he strains to control the rocket's ascent,Rocket continues launching into space,Outdoor,Gru,Gru,Gru yells,Exiting Earth's atmosphere ,short,no,yes,4,-,,,,,,,
,173,579,9:39,9:40,724,153,Gru continues yelling,,Outdoor,Gru,Gru,Gru yells,Exiting Earth's atmosphere ,short,no,yes,4,-,,,,,,,
,174,581,9:41,9:44,726,154,A minion lazily floats by in the atmosphere,,Outdoor,Stuart,Stuart,N/A,Exiting Earth's atmosphere ,long,no,no,2,+,,,,,,,
,175,585,9:45,9:46,731,154,"The minion notices the rocket and panics, but the rocket blasts the minion out of the way",,Outdoor,Stuart,Stuart,Stuart says something in panic,Exiting Earth's atmosphere ,long,no,no,3,+,,,,,,,
Gru makes it to outer space,176,587,9:47,9:49,734,155,Rocket leaves behind a trail of smoke as it blasts into space,,Outdoor,N/A,N/A,N/A,Exiting Earth's atmosphere ,medium,no,no,4,+,,,,,,,
,177,590,9:50,9:50,738,156,The items inside the pod continue to shake due to the shaky trajection,,Outdoor,N/A,N/A,N/A,Exiting Earth's atmosphere ,medium,no,yes,4,+,,,,,,,
,178,591,9:51,9:54,739,157,The rocket's fire goes out and the rocket's speed reduces drastically,Rocket reaches outer space,Outdoor,N/A,N/A,N/A,Outer space,medium,no,yes,2,+,,,,,,,
,179,595,9:55,9:56,744,158,Gru reacts to the rocket's slowed travel,,Outdoor,Gru,Gru,N/A,Outer space,short,no,yes,3,+,,,,,,,
,180,597,9:57,10:00,746,159,The rocket detaches in 3 parts,,Outdoor,N/A,N/A,N/A,Outer space,medium,no,yes,2,+,,,,,,,
,181,,,,,,,,,,,,,,,,,,,,,,,,
,182,,,,,,,,,,,,,,,,,,,,,,,,
,183,,,,,,,,,,,,,,,,,,,,,,,,
,184,,,,,,,,,,,,,,,,,,,,,,,,
,185,,,,,,,,,,,,,,,,,,,,,,,,
,186,,,,,,,,,,,,,,,,,,,,,,,,
,187,,,,,,,,,,,,,,,,,,,,,,,,
,188,,,,,,,,,,,,,,,,,,,,,,,,
,189,,,,,,,,,,,,,,,,,,,,,,,,
,190,,,,,,,,,,,,,,,,,,,,,,,,
,191,,,,,,,,,,,,,,,,,,,,,,,,
,192,,,,,,,,,,,,,,,,,,,,,,,,
,193,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,
,195,,,,,,,,,,,,,,,,,,,,,,,,
,196,,,,,,,,,,,,,,,,,,,,,,,,
,197,,,,,,,,,,,,,,,,,,,,,,,,
,198,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,,,,,,,,
,200,,,,,,,,,,,,,,,,,,,,,,,,
,201,,,,,,,,,,,,,,,,,,,,,,,,
,202,,,,,,,,,,,,,,,,,,,,,,,,
,203,,,,,,,,,,,,,,,,,,,,,,,,
,204,,,,,,,,,,,,,,,,,,,,,,,,
,205,,,,,,,,,,,,,,,,,,,,,,,,
,206,,,,,,,,,,,,,,,,,,,,,,,,
,207,,,,,,,,,,,,,,,,,,,,,,,,
,208,,,,,,,,,,,,,,,,,,,,,,,,
,209,,,,,,,,,,,,,,,,,,,,,,,,
,210,,,,,,,,,,,,,,,,,,,,,,,,
,211,,,,,,,,,,,,,,,,,,,,,,,,
,212,,,,,,,,,,,,,,,,,,,,,,,,
,213,,,,,,,,,,,,,,,,,,,,,,,,
,214,,,,,,,,,,,,,,,,,,,,,,,,
,215,,,,,,,,,,,,,,,,,,,,,,,,
,216,,,,,,,,,,,,,,,,,,,,,,,,
,217,,,,,,,,,,,,,,,,,,,,,,,,
,218,,,,,,,,,,,,,,,,,,,,,,,,
,219,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,,,,,,,,,,,,,,,,,,,,,,
,221,,,,,,,,,,,,,,,,,,,,,,,,
,222,,,,,,,,,,,,,,,,,,,,,,,,
,223,,,,,,,,,,,,,,,,,,,,,,,,
,224,,,,,,,,,,,,,,,,,,,,,,,,
,225,,,,,,,,,,,,,,,,,,,,,,,,
,226,,,,,,,,,,,,,,,,,,,,,,,,
,227,,,,,,,,,,,,,,,,,,,,,,,,
,228,,,,,,,,,,,,,,,,,,,,,,,,
,229,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,,,,,,,,,,,,,,,,,,,,,,
,231,,,,,,,,,,,,,,,,,,,,,,,,
,232,,,,,,,,,,,,,,,,,,,,,,,,
,233,,,,,,,,,,,,,,,,,,,,,,,,
,234,,,,,,,,,,,,,,,,,,,,,,,,
,235,,,,,,,,,,,,,,,,,,,,,,,,
,236,,,,,,,,,,,,,,,,,,,,,,,,
,237,,,,,,,,,,,,,,,,,,,,,,,,
,238,,,,,,,,,,,,,,,,,,,,,,,,
,239,,,,,,,,,,,,,,,,,,,,,,,,
,240,,,,,,,,,,,,,,,,,,,,,,,,
,241,,,,,,,,,,,,,,,,,,,,,,,,
,242,,,,,,,,,,,,,,,,,,,,,,,,
,243,,,,,,,,,,,,,,,,,,,,,,,,
,244,,,,,,,,,,,,,,,,,,,,,,,,
,245,,,,,,,,,,,,,,,,,,,,,,,,
,246,,,,,,,,,,,,,,,,,,,,,,,,
,247,,,,,,,,,,,,,,,,,,,,,,,,
,248,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,,,,,,,,
,250,,,,,,,,,,,,,,,,,,,,,,,,
,251,,,,,,,,,,,,,,,,,,,,,,,,
,252,,,,,,,,,,,,,,,,,,,,,,,,
,253,,,,,,,,,,,,,,,,,,,,,,,,
,254,,,,,,,,,,,,,,,,,,,,,,,,
,255,,,,,,,,,,,,,,,,,,,,,,,,
,256,,,,,,,,,,,,,,,,,,,,,,,,
,257,,,,,,,,,,,,,,,,,,,,,,,,
,258,,,,,,,,,,,,,,,,,,,,,,,,
,259,,,,,,,,,,,,,,,,,,,,,,,,
,260,,,,,,,,,,,,,,,,,,,,,,,,
,261,,,,,,,,,,,,,,,,,,,,,,,,
,262,,,,,,,,,,,,,,,,,,,,,,,,
,263,,,,,,,,,,,,,,,,,,,,,,,,
,264,,,,,,,,,,,,,,,,,,,,,,,,
,265,,,,,,,,,,,,,,,,,,,,,,,,
,266,,,,,,,,,,,,,,,,,,,,,,,,
,267,,,,,,,,,,,,,,,,,,,,,,,,
,268,,,,,,,,,,,,,,,,,,,,,,,,
,269,,,,,,,,,,,,,,,,,,,,,,,,
,270,,,,,,,,,,,,,,,,,,,,,,,,
,271,,,,,,,,,,,,,,,,,,,,,,,,
,272,,,,,,,,,,,,,,,,,,,,,,,,
,273,,,,,,,,,,,,,,,,,,,,,,,,
,274,,,,,,,,,,,,,,,,,,,,,,,,
,275,,,,,,,,,,,,,,,,,,,,,,,,
,276,,,,,,,,,,,,,,,,,,,,,,,,
,277,,,,,,,,,,,,,,,,,,,,,,,,
,278,,,,,,,,,,,,,,,,,,,,,,,,
,279,,,,,,,,,,,,,,,,,,,,,,,,
,280,,,,,,,,,,,,,,,,,,,,,,,,
,281,,,,,,,,,,,,,,,,,,,,,,,,
,282,,,,,,,,,,,,,,,,,,,,,,,,
,283,,,,,,,,,,,,,,,,,,,,,,,,
,284,,,,,,,,,,,,,,,,,,,,,,,,
,285,,,,,,,,,,,,,,,,,,,,,,,,
,286,,,,,,,,,,,,,,,,,,,,,,,,
,287,,,,,,,,,,,,,,,,,,,,,,,,
,288,,,,,,,,,,,,,,,,,,,,,,,,
,289,,,,,,,,,,,,,,,,,,,,,,,,
,290,,,,,,,,,,,,,,,,,,,,,,,,
,291,,,,,,,,,,,,,,,,,,,,,,,,
,292,,,,,,,,,,,,,,,,,,,,,,,,
,293,,,,,,,,,,,,,,,,,,,,,,,,
,294,,,,,,,,,,,,,,,,,,,,,,,,
,295,,,,,,,,,,,,,,,,,,,,,,,,
,296,,,,,,,,,,,,,,,,,,,,,,,,
,297,,,,,,,,,,,,,,,,,,,,,,,,
,298,,,,,,,,,,,,,,,,,,,,,,,,
,299,,,,,,,,,,,,,,,,,,,,,,,,
,300,,,,,,,,,,,,,,,,,,,,,,,,
,301,,,,,,,,,,,,,,,,,,,,,,,,
,302,,,,,,,,,,,,,,,,,,,,,,,,
,303,,,,,,,,,,,,,,,,,,,,,,,,
,304,,,,,,,,,,,,,,,,,,,,,,,,
,305,,,,,,,,,,,,,,,,,,,,,,,,
,306,,,,,,,,,,,,,,,,,,,,,,,,
,307,,,,,,,,,,,,,,,,,,,,,,,,
,308,,,,,,,,,,,,,,,,,,,,,,,,
,309,,,,,,,,,,,,,,,,,,,,,,,,
,310,,,,,,,,,,,,,,,,,,,,,,,,
,311,,,,,,,,,,,,,,,,,,,,,,,,
,312,,,,,,,,,,,,,,,,,,,,,,,,
,313,,,,,,,,,,,,,,,,,,,,,,,,
,314,,,,,,,,,,,,,,,,,,,,,,,,
,315,,,,,,,,,,,,,,,,,,,,,,,,
,316,,,,,,,,,,,,,,,,,,,,,,,,
,317,,,,,,,,,,,,,,,,,,,,,,,,
,318,,,,,,,,,,,,,,,,,,,,,,,,
,319,,,,,,,,,,,,,,,,,,,,,,,,
,320,,,,,,,,,,,,,,,,,,,,,,,,
,321,,,,,,,,,,,,,,,,,,,,,,,,
,322,,,,,,,,,,,,,,,,,,,,,,,,
,323,,,,,,,,,,,,,,,,,,,,,,,,
,324,,,,,,,,,,,,,,,,,,,,,,,,
,325,,,,,,,,,,,,,,,,,,,,,,,,
,326,,,,,,,,,,,,,,,,,,,,,,,,
,327,,,,,,,,,,,,,,,,,,,,,,,,
,328,,,,,,,,,,,,,,,,,,,,,,,,
,329,,,,,,,,,,,,,,,,,,,,,,,,
,330,,,,,,,,,,,,,,,,,,,,,,,,
,331,,,,,,,,,,,,,,,,,,,,,,,,
,332,,,,,,,,,,,,,,,,,,,,,,,,
,333,,,,,,,,,,,,,,,,,,,,,,,,
,334,,,,,,,,,,,,,,,,,,,,,,,,
,335,,,,,,,,,,,,,,,,,,,,,,,,
,336,,,,,,,,,,,,,,,,,,,,,,,,
,337,,,,,,,,,,,,,,,,,,,,,,,,
,338,,,,,,,,,,,,,,,,,,,,,,,,
,339,,,,,,,,,,,,,,,,,,,,,,,,
,340,,,,,,,,,,,,,,,,,,,,,,,,
,341,,,,,,,,,,,,,,,,,,,,,,,,
,342,,,,,,,,,,,,,,,,,,,,,,,,
,343,,,,,,,,,,,,,,,,,,,,,,,,
,344,,,,,,,,,,,,,,,,,,,,,,,,
,345,,,,,,,,,,,,,,,,,,,,,,,,
,346,,,,,,,,,,,,,,,,,,,,,,,,
,347,,,,,,,,,,,,,,,,,,,,,,,,
,348,,,,,,,,,,,,,,,,,,,,,,,,
,349,,,,,,,,,,,,,,,,,,,,,,,,
,350,,,,,,,,,,,,,,,,,,,,,,,,
,351,,,,,,,,,,,,,,,,,,,,,,,,
,352,,,,,,,,,,,,,,,,,,,,,,,,
,353,,,,,,,,,,,,,,,,,,,,,,,,
,354,,,,,,,,,,,,,,,,,,,,,,,,
,355,,,,,,,,,,,,,,,,,,,,,,,,
,356,,,,,,,,,,,,,,,,,,,,,,,,
,357,,,,,,,,,,,,,,,,,,,,,,,,
,358,,,,,,,,,,,,,,,,,,,,,,,,
,359,,,,,,,,,,,,,,,,,,,,,,,,
,360,,,,,,,,,,,,,,,,,,,,,,,,
,361,,,,,,,,,,,,,,,,,,,,,,,,
,362,,,,,,,,,,,,,,,,,,,,,,,,
,363,,,,,,,,,,,,,,,,,,,,,,,,
,364,,,,,,,,,,,,,,,,,,,,,,,,
,365,,,,,,,,,,,,,,,,,,,,,,,,
,366,,,,,,,,,,,,,,,,,,,,,,,,
,367,,,,,,,,,,,,,,,,,,,,,,,,
,368,,,,,,,,,,,,,,,,,,,,,,,,
,369,,,,,,,,,,,,,,,,,,,,,,,,
,370,,,,,,,,,,,,,,,,,,,,,,,,
,371,,,,,,,,,,,,,,,,,,,,,,,,
,372,,,,,,,,,,,,,,,,,,,,,,,,
,373,,,,,,,,,,,,,,,,,,,,,,,,
,374,,,,,,,,,,,,,,,,,,,,,,,,
,375,,,,,,,,,,,,,,,,,,,,,,,,
,376,,,,,,,,,,,,,,,,,,,,,,,,
,377,,,,,,,,,,,,,,,,,,,,,,,,
,378,,,,,,,,,,,,,,,,,,,,,,,,
,379,,,,,,,,,,,,,,,,,,,,,,,,
,380,,,,,,,,,,,,,,,,,,,,,,,,
,381,,,,,,,,,,,,,,,,,,,,,,,,
,382,,,,,,,,,,,,,,,,,,,,,,,,
,383,,,,,,,,,,,,,,,,,,,,,,,,
,384,,,,,,,,,,,,,,,,,,,,,,,,
,385,,,,,,,,,,,,,,,,,,,,,,,,
,386,,,,,,,,,,,,,,,,,,,,,,,,
,387,,,,,,,,,,,,,,,,,,,,,,,,
,388,,,,,,,,,,,,,,,,,,,,,,,,
,389,,,,,,,,,,,,,,,,,,,,,,,,
,390,,,,,,,,,,,,,,,,,,,,,,,,
,391,,,,,,,,,,,,,,,,,,,,,,,,
,392,,,,,,,,,,,,,,,,,,,,,,,,
,393,,,,,,,,,,,,,,,,,,,,,,,,
,394,,,,,,,,,,,,,,,,,,,,,,,,
,395,,,,,,,,,,,,,,,,,,,,,,,,
,396,,,,,,,,,,,,,,,,,,,,,,,,
,397,,,,,,,,,,,,,,,,,,,,,,,,
,398,,,,,,,,,,,,,,,,,,,,,,,,
,399,,,,,,,,,,,,,,,,,,,,,,,,
,400,,,,,,,,,,,,,,,,,,,,,,,,
,401,,,,,,,,,,,,,,,,,,,,,,,,
,402,,,,,,,,,,,,,,,,,,,,,,,,
,403,,,,,,,,,,,,,,,,,,,,,,,,
,404,,,,,,,,,,,,,,,,,,,,,,,,
,405,,,,,,,,,,,,,,,,,,,,,,,,
,406,,,,,,,,,,,,,,,,,,,,,,,,
,407,,,,,,,,,,,,,,,,,,,,,,,,
,408,,,,,,,,,,,,,,,,,,,,,,,,
,409,,,,,,,,,,,,,,,,,,,,,,,,
,410,,,,,,,,,,,,,,,,,,,,,,,,
,411,,,,,,,,,,,,,,,,,,,,,,,,
,412,,,,,,,,,,,,,,,,,,,,,,,,
,413,,,,,,,,,,,,,,,,,,,,,,,,
,414,,,,,,,,,,,,,,,,,,,,,,,,
,415,,,,,,,,,,,,,,,,,,,,,,,,
,416,,,,,,,,,,,,,,,,,,,,,,,,
,417,,,,,,,,,,,,,,,,,,,,,,,,
,418,,,,,,,,,,,,,,,,,,,,,,,,
,419,,,,,,,,,,,,,,,,,,,,,,,,
,420,,,,,,,,,,,,,,,,,,,,,,,,
,421,,,,,,,,,,,,,,,,,,,,,,,,
,422,,,,,,,,,,,,,,,,,,,,,,,,
,423,,,,,,,,,,,,,,,,,,,,,,,,
,424,,,,,,,,,,,,,,,,,,,,,,,,
,425,,,,,,,,,,,,,,,,,,,,,,,,
,426,,,,,,,,,,,,,,,,,,,,,,,,
,427,,,,,,,,,,,,,,,,,,,,,,,,
,428,,,,,,,,,,,,,,,,,,,,,,,,
,429,,,,,,,,,,,,,,,,,,,,,,,,
,430,,,,,,,,,,,,,,,,,,,,,,,,
,431,,,,,,,,,,,,,,,,,,,,,,,,
,432,,,,,,,,,,,,,,,,,,,,,,,,
,433,,,,,,,,,,,,,,,,,,,,,,,,
,434,,,,,,,,,,,,,,,,,,,,,,,,
,435,,,,,,,,,,,,,,,,,,,,,,,,
,436,,,,,,,,,,,,,,,,,,,,,,,,
,437,,,,,,,,,,,,,,,,,,,,,,,,
,438,,,,,,,,,,,,,,,,,,,,,,,,
,439,,,,,,,,,,,,,,,,,,,,,,,,
,440,,,,,,,,,,,,,,,,,,,,,,,,
,441,,,,,,,,,,,,,,,,,,,,,,,,
,442,,,,,,,,,,,,,,,,,,,,,,,,
,443,,,,,,,,,,,,,,,,,,,,,,,,
,444,,,,,,,,,,,,,,,,,,,,,,,,
,445,,,,,,,,,,,,,,,,,,,,,,,,
,446,,,,,,,,,,,,,,,,,,,,,,,,
,447,,,,,,,,,,,,,,,,,,,,,,,,
,448,,,,,,,,,,,,,,,,,,,,,,,,
,449,,,,,,,,,,,,,,,,,,,,,,,,
,450,,,,,,,,,,,,,,,,,,,,,,,,
,451,,,,,,,,,,,,,,,,,,,,,,,,
,452,,,,,,,,,,,,,,,,,,,,,,,,
,453,,,,,,,,,,,,,,,,,,,,,,,,
,454,,,,,,,,,,,,,,,,,,,,,,,,
,455,,,,,,,,,,,,,,,,,,,,,,,,
,456,,,,,,,,,,,,,,,,,,,,,,,,
,457,,,,,,,,,,,,,,,,,,,,,,,,
,458,,,,,,,,,,,,,,,,,,,,,,,,
,459,,,,,,,,,,,,,,,,,,,,,,,,
,460,,,,,,,,,,,,,,,,,,,,,,,,
,461,,,,,,,,,,,,,,,,,,,,,,,,
,462,,,,,,,,,,,,,,,,,,,,,,,,
,463,,,,,,,,,,,,,,,,,,,,,,,,
,464,,,,,,,,,,,,,,,,,,,,,,,,
,465,,,,,,,,,,,,,,,,,,,,,,,,
,466,,,,,,,,,,,,,,,,,,,,,,,,
,467,,,,,,,,,,,,,,,,,,,,,,,,
,468,,,,,,,,,,,,,,,,,,,,,,,,
,469,,,,,,,,,,,,,,,,,,,,,,,,
,470,,,,,,,,,,,,,,,,,,,,,,,,
,471,,,,,,,,,,,,,,,,,,,,,,,,
,472,,,,,,,,,,,,,,,,,,,,,,,,
,473,,,,,,,,,,,,,,,,,,,,,,,,
,474,,,,,,,,,,,,,,,,,,,,,,,,
,475,,,,,,,,,,,,,,,,,,,,,,,,
,476,,,,,,,,,,,,,,,,,,,,,,,,
,477,,,,,,,,,,,,,,,,,,,,,,,,
,478,,,,,,,,,,,,,,,,,,,,,,,,
,479,,,,,,,,,,,,,,,,,,,,,,,,
,480,,,,,,,,,,,,,,,,,,,,,,,,
,483,,,,,,,,,,,,,,,,,,,,,,,,
,484,,,,,,,,,,,,,,,,,,,,,,,,
,485,,,,,,,,,,,,,,,,,,,,,,,,
,486,,,,,,,,,,,,,,,,,,,,,,,,
,487,,,,,,,,,,,,,,,,,,,,,,,,
,488,,,,,,,,,,,,,,,,,,,,,,,,
,489,,,,,,,,,,,,,,,,,,,,,,,,
,490,,,,,,,,,,,,,,,,,,,,,,,,
,491,,,,,,,,,,,,,,,,,,,,,,,,
,492,,,,,,,,,,,,,,,,,,,,,,,,
,493,,,,,,,,,,,,,,,,,,,,,,,,
,494,,,,,,,,,,,,,,,,,,,,,,,,
,495,,,,,,,,,,,,,,,,,,,,,,,,
,496,,,,,,,,,,,,,,,,,,,,,,,,
,497,,,,,,,,,,,,,,,,,,,,,,,,
,498,,,,,,,,,,,,,,,,,,,,,,,,
,499,,,,,,,,,,,,,,,,,,,,,,,,
,500,,,,,,,,,,,,,,,,,,,,,,,,
,501,,,,,,,,,,,,,,,,,,,,,,,,
,502,,,,,,,,,,,,,,,,,,,,,,,,
,503,,,,,,,,,,,,,,,,,,,,,,,,
,504,,,,,,,,,,,,,,,,,,,,,,,,
,505,,,,,,,,,,,,,,,,,,,,,,,,
,506,,,,,,,,,,,,,,,,,,,,,,,,
,507,,,,,,,,,,,,,,,,,,,,,,,,
,508,,,,,,,,,,,,,,,,,,,,,,,,
,509,,,,,,,,,,,,,,,,,,,,,,,,
,510,,,,,,,,,,,,,,,,,,,,,,,,
,511,,,,,,,,,,,,,,,,,,,,,,,,
,512,,,,,,,,,,,,,,,,,,,,,,,,
,513,,,,,,,,,,,,,,,,,,,,,,,,
,514,,,,,,,,,,,,,,,,,,,,,,,,
,515,,,,,,,,,,,,,,,,,,,,,,,,
,516,,,,,,,,,,,,,,,,,,,,,,,,
,517,,,,,,,,,,,,,,,,,,,,,,,,
,518,,,,,,,,,,,,,,,,,,,,,,,,
,519,,,,,,,,,,,,,,,,,,,,,,,,
,520,,,,,,,,,,,,,,,,,,,,,,,,
,521,,,,,,,,,,,,,,,,,,,,,,,,
,522,,,,,,,,,,,,,,,,,,,,,,,,
,523,,,,,,,,,,,,,,,,,,,,,,,,
,524,,,,,,,,,,,,,,,,,,,,,,,,
,525,,,,,,,,,,,,,,,,,,,,,,,,
,526,,,,,,,,,,,,,,,,,,,,,,,,
,527,,,,,,,,,,,,,,,,,,,,,,,,
,528,,,,,,,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,,,,,,,,,,,,,,,
,530,,,,,,,,,,,,,,,,,,,,,,,,
